상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130326,54352,39953,14399,7363,7886,8360,7861,8483,7630,6769,0,9599,11070,12261,17279,4143,19607,34392,982,7191,13854,14526,9393,8054,481249730,342903210,138346520,60549120,67749462,68783393,68571603,77249632,72620328,65726192,0,86361940,107737685,103408270,150608986,33132849,180662085,291981063,5905068,57629704,113977261,136773368,81780918,76576830,2,140332,64196,76136,26379,13049,22850,25679,19787,32587,33586,30929,16979,16926,24248,17663,19967,20241,20307,20391,20302,19747,19376,935,11,0,0,0,0,0,0,0,0,0,91130,1211862,442720,502951,933081,312779,3494523,3
2130325,2948,2005,943,498,611,39,366,491,491,452,0,275,1003,767,896,7,1212,1480,0,72,197,478,682,1265,23912630,16553638,7358992,4717539,5607850,153299,2350579,3724371,3913047,3445945,0,2547772,10308353,5687775,5349076,19654,7300031,10490478,0,370144,1105848,4308087,3954320,8052112,1,203108,89846,113262,35654,21756,26649,33010,31538,54500,38231,39526,28311,28916,42337,25788,28386,29158,29257,29213,29350,28860,28885,89,2,0,0,0,0,0,0,0,0,0,62841,796122,409169,475524,742212,272870,2758738,3
2130324,5642,4107,1535,756,969,836,678,868,803,732,0,505,1197,1545,2025,370,2877,2648,16,540,777,1212,1538,1441,40720454,30683469,10036985,5092963,10430212,5397927,4096120,5666247,5646539,4390446,0,3185959,8817139,13081500,13598040,2037816,19195179,16320414,93774,2743444,5185259,8685510,10158665,8648940,3,486493,223362,263130,79013,55345,68549,73520,75217,134850,141612,98548,54302,53514,76496,62020,69410,68984,68816,68359,68891,70865,71171,154,5,0,0,0,0,0,0,0,0,0,44035,588665,317851,359161,545931,184284,2039927,3
2130323,9486,6579,2907,1497,1202,1117,1315,1448,1807,1100,0,630,2143,2672,3711,330,5359,4127,0,741,1074,1843,2380,3448,69324653,47321342,22003311,10396130,9423281,8331678,8218006,10952247,13113767,8889544,0,4470430,14396606,20570882,27925029,1961706,37192195,32132458,0,4393205,8684482,13478249,18542448,24226269,3,343847,165124,178722,50900,45451,43897,53197,57061,93341,96348,68617,37497,38460,58125,44799,48688,48658,48312,48348,49173,49642,51023,171,6,0,0,0,0,0,0,0,0,0,35105,666091,331085,387094,639959,211662,2270996,3
2130322,14208,10269,3939,1970,2023,2165,1903,2208,1995,1944,0,2529,3422,3043,4051,1163,5440,8614,106,1828,2783,2882,3232,3224,146219611,106714101,39505510,17847857,28319410,19320403,17119522,24106909,20883714,18621796,0,21952395,40108148,29972921,43524607,10661540,52621170,75486021,853144,14752580,24947376,27223927,32642610,27687554,3,254824,125456,129369,32889,32452,40365,35291,44157,69671,73172,52250,28375,28067,40849,32112,35995,35377,35096,35142,34931,37960,40325,8,9,0,0,0,0,0,0,0,0,0,8051,107533,52868,62307,94443,39790,364992,3
2130319,4548,3445,1103,887,416,582,832,728,432,671,0,469,521,774,2092,692,2272,2164,0,1200,795,705,939,795,36464659,28695116,7769543,6923656,3260958,7806670,6001307,4702525,3848122,3921421,0,2699954,7068320,8170943,14030938,4494504,14302594,15752564,0,6834720,5312901,6100692,7299149,4507696,3,710911,346382,364528,114675,76664,111565,110186,116078,181744,192752,139952,78308,83414,123900,92588,100183,97907,97560,96828,97702,107095,113635,34,5,0,0,0,0,0,0,0,0,0,115042,1373463,627275,733690,1265645,449710,4564825,3
2130318,27704,20816,6888,3695,4417,4077,4224,4403,4035,2853,0,4919,5043,5963,9824,1955,10076,17486,460,7386,6301,5129,4463,3824,204486278,152384125,52102153,26276423,30994341,29025569,30391414,35696378,30759803,21342350,0,32211587,38050191,43491206,72986645,17746649,72374495,129315248,3559937,49360653,47023250,38547007,33943842,29255054,7,384799,181045,203753,31220,85574,75364,57924,57752,76964,59499,62507,57358,65910,90546,48977,50582,51084,51661,51945,56315,62462,60750,266,37,1,1,0,0,0,0,0,0,0,73690,433367,264019,311264,469826,202724,1754890,3
2130317,16621,9920,6701,1790,1384,1878,2164,2704,3228,3473,0,440,3132,4361,6909,1779,7130,9108,495,2747,3999,5339,2516,1143,161832646,96697394,65135252,15342679,14966741,17546450,21426117,27415407,31945550,33189702,0,3678077,31216087,43220811,64426333,19291338,66675364,83700423,3751682,23126844,35123110,49484199,26092485,12797467,3,447769,215692,232078,59757,44605,59827,60894,77844,144840,120008,87266,51094,52431,77785,59184,63322,62202,62054,61669,62856,66452,69214,107,9,0,0,0,0,0,0,0,0,0,61179,675901,286010,341282,541253,200756,2106381,3
2130316,1842,1117,725,151,272,120,363,211,303,422,0,150,332,484,876,0,1118,604,0,30,422,362,453,453,12189847,7441969,4747878,951388,1751762,1072200,2413203,1253416,2008485,2739393,0,1162807,2431325,2896448,5699267,0,6943622,3986768,0,90608,2944772,2452466,2074932,3367613,1,43319,20868,22452,5707,4607,5769,6187,7454,13592,12295,8581,4758,4701,7111,5871,6181,6088,6084,6050,6115,6339,6462,18,1,0,0,0,0,0,0,0,0,0,61179,675901,286010,341282,541253,200756,2106381,3
2130314,18204,13412,4792,2387,2865,2466,2738,2956,2490,2302,0,4276,2908,2732,6058,2230,7216,10590,115,2908,3683,3623,3968,3508,177454665,127437859,50016806,21402448,25044296,24768119,24946704,31276292,26109626,23907180,0,41262510,29067303,27384073,58726699,21014080,70708307,90718846,1351805,20702647,34615067,35817789,35498724,33441120,4,1253487,575381,678107,163829,143114,194341,192904,208754,350547,326054,250339,143026,143658,219651,170759,177973,176080,175456,175015,176143,186035,186786,202,21,1,0,0,0,0,0,0,0,0,32015,205600,92619,104852,154129,70931,660146,3
