상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130324,8934,6026,2908,1266,1330,1318,888,1224,1706,1202,0,1667,3012,2513,1661,81,3746,5067,101,1950,2743,1780,1749,489,35396151,23957006,11439145,4840867,4949435,5284428,3226277,5655999,6799159,4639986,0,5905067,11983148,9395508,6771872,1340556,14587960,19976222,295557,7211138,10498298,7708978,6961204,1889007,3,459772,208444,251329,72778,50427,65855,71189,70730,128794,131738,90775,51528,51448,73557,60725,66246,65632,64805,64810,64266,66298,67717,154,5,0,0,0,0,0,0,0,0,0,45326,599357,325013,383230,559853,192553,2105332,4
2130323,2096,1335,761,131,212,336,323,333,334,427,73,11,823,466,455,268,966,1106,16,565,644,347,330,174,56668641,23083435,33585206,1725014,2517299,8429024,5523836,4888262,6371972,27213234,7148710,32014,12282479,24406735,8086571,4712132,29746803,26256279,81736,11763729,25531920,5502967,3499653,9623076,5,369289,181530,187759,50918,46914,47037,59827,62994,101601,102616,74772,40196,41953,61826,47925,52185,51701,52464,51840,53128,54054,53919,171,6,0,0,0,0,0,0,0,0,0,36953,706452,352812,427903,685947,226860,2436927,4
2130322,1824,1372,452,300,225,286,308,253,226,226,0,396,458,533,211,0,437,1161,0,479,431,320,211,157,10449577,8010295,2439282,1593864,1091941,1938723,1755709,1630058,1219641,1219641,0,2018622,3212311,2805994,1193009,0,2763655,6466281,0,2172272,2601810,2114909,1182081,1158864,3,212109,103050,109061,26827,25428,32328,29958,37399,60168,58376,42621,23815,23903,35526,27870,30134,29403,29259,29066,29318,31580,33349,8,9,0,0,0,0,0,0,0,0,0,7853,123930,59641,70452,107590,46202,415668,4
2130321,4575,2829,1746,269,641,472,724,723,1134,612,0,14,2107,1648,806,0,1000,3506,28,1560,1617,412,744,144,92569815,57798507,34771308,3666653,8965027,5500146,16129927,23536754,17372076,17399232,0,134614,32947338,34751969,24735894,0,16223339,50979753,346780,20962232,28340223,5355148,10382903,1815806,8,177811,82931,94881,35135,20030,25433,30462,28371,38382,35499,37073,26945,25966,32181,20148,25983,26052,26111,26444,25884,23494,23845,433,7,1,0,0,0,0,0,0,0,0,10650,188740,80951,95183,165789,60391,601704,4
2130318,84835,53859,30976,9655,10414,10363,10109,13318,17990,12986,313,5096,19233,19704,29314,11175,38907,45928,3484,34487,22030,12299,8971,3564,688623688,426166683,262457005,73247134,86546071,78594625,79069721,108709132,152733566,109723439,7940125,24547142,126888036,151841756,253654368,123752261,293131832,395491856,33174812,300013196,171651987,96041145,62978850,24763698,22,381567,179019,202548,29357,82373,75471,58588,57107,78673,60077,63587,57677,65397,87318,47512,50086,50474,50975,51222,55923,63001,59886,266,37,1,1,0,0,0,0,0,0,0,76070,450162,273222,335191,489368,211449,1835462,4
2130315,27230,19536,7694,4013,3625,3797,3857,4244,4376,3318,1053,4628,6130,5479,5923,4017,11949,14330,477,9311,7140,5116,3037,1196,222558878,151708004,70850874,31347125,26466569,26652260,32692738,34549312,41025566,29825308,10390450,28375800,48390408,44654025,52595335,38152860,92196850,116452677,3409986,65462313,59341160,42317519,26100862,12017686,13,615949,294453,321495,88721,94332,121922,99174,90938,120863,139357,127736,85488,85959,106920,70490,91569,92299,91426,91370,90550,80337,78399,1372,15,2,0,0,0,0,0,0,0,0,68855,1627894,501112,632169,1460801,364726,4655557,4
2130314,9421,6074,3347,1176,1193,1170,1190,1345,1984,1363,0,822,2999,2551,2777,272,3505,5697,348,2688,2672,1244,1344,906,84501077,51931967,32569110,10888838,9755944,9576080,10103133,11607972,20090360,12478750,0,8141153,25806718,23330152,24530382,2692672,28041777,52039450,2133909,24238748,21327947,11968185,12057792,8354645,4,1262187,580028,682157,165203,139494,197548,193257,206539,360145,335919,253940,141102,142421,217998,170807,178975,177295,174166,173576,176761,190521,190892,202,21,1,0,0,0,0,0,0,0,0,35119,226555,103519,123327,177929,83162,749611,4
2130313,111950,78827,33123,15708,15600,16395,14837,16287,18705,14418,0,27187,31966,25503,22026,5268,59780,49789,3015,30309,34102,19076,13161,9908,516397400,347821674,168575726,68331412,66003880,72447593,66084302,74954487,95153469,73422257,0,96889995,162779758,123087180,109435828,24204639,246243519,250698922,11655297,141464049,146247554,92278172,64516298,40781072,14,1005440,461317,544124,129842,145818,211261,169613,141820,207087,302866,210272,107906,104222,149792,130382,144550,142114,141533,141113,141654,145775,148700,3469,33,0,1,0,0,0,0,0,0,0,42814,574960,307184,354183,625664,239566,2144371,4
2130311,63959,41517,22442,8012,8080,7956,7924,9545,12457,9985,0,11983,15529,16583,16408,3456,32065,31894,2915,17497,15947,14070,10209,3321,299832831,185887958,113944873,35182816,34922842,35393663,34896346,45492291,62499519,51445354,0,45020493,73564450,81715831,82619583,16912474,150616086,149216745,13146440,83798002,74163114,68070479,44954026,15700770,16,874348,411780,462568,147333,135019,155051,152428,120792,163723,205645,161387,103740,113468,173337,116772,121896,122300,122189,122267,126214,134924,124558,377,17,0,2,0,0,0,0,0,0,0,94533,1450397,817635,995644,1613087,648871,5620167,4
2130310,87157,58785,28372,11237,11732,11777,11267,12772,15006,13366,0,18846,27419,21458,16585,2849,42661,40916,3672,19979,14183,21181,17450,7110,407077912,279871319,127206593,49952058,56123810,61144583,51570138,61080730,66929669,60276924,0,76117933,137090384,96389415,82679805,14800375,182889703,180237876,14113044,73907920,63260993,95588046,81288157,34969418,8,211859,95107,116752,48064,22368,22914,36559,32639,49312,25412,42559,37800,41098,46461,18531,29824,30279,30862,30706,31362,30257,28566,298,30,0,3,0,0,0,0,0,0,0,17411,415944,203793,280706,363368,143706,1424928,4
