상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130324,11170,7195,3975,1355,1686,1355,1086,1713,2145,1830,395,0,279,1193,7051,2252,6476,4524,110,1303,2161,2903,2348,2175,143757836,92279668,51478168,17113932,19768723,17863087,14141446,23392480,27355375,24122793,6153838,0,3632730,16602533,87971351,29397384,84049916,57012756,1619206,15983259,26170292,38447750,30885716,27956449,3,506523,232053,274471,84356,56747,70321,76606,80562,137931,142738,103748,58341,57614,79840,64245,71545,71690,71191,70622,71792,75111,74572,154,5,0,0,0,0,0,0,0,0,0,46262,594849,325962,385854,578937,203902,2135766,0
2130322,3192,2000,1192,355,351,373,443,478,602,590,167,18,174,407,1621,805,1788,1354,31,246,550,627,932,757,54904496,36703090,18201406,5793830,5515305,5168246,6339947,13885762,9223346,8978060,2695125,7436430,2869006,5821358,24846388,11236189,27376415,19190829,442538,3396698,7517082,10511196,13511909,11187823,6,267658,130283,137374,35434,34410,39751,36567,46689,74804,73696,54889,30569,30763,43998,33741,36920,37420,37324,37134,36840,40092,41927,8,9,0,0,0,0,0,0,0,0,0,7644,122669,58956,68358,107563,46626,411816,0
2130320,9429,6267,3162,1176,1470,745,1280,1596,1749,1413,147,0,187,1010,4882,3203,4966,4257,59,730,1789,3040,1744,1863,172712209,113081333,59630876,20087405,23343854,14471045,21693233,33485796,32884113,26746763,2413139,0,2004369,17402707,87930108,62961886,87207672,80366462,661017,10721317,31549001,58602172,33709710,32330916,5,124523,59395,65128,14553,16007,22023,19846,20910,31184,26676,22788,17049,18602,24806,14600,17814,17435,17526,17559,17888,18428,17871,173,12,0,0,0,0,0,0,0,0,0,87839,1367555,506494,585313,1079228,368432,3994861,0
2130319,5917,3964,1953,741,895,645,886,797,1024,929,0,328,765,1575,2677,572,2846,3038,49,482,829,1159,1426,1938,89067302,57670947,31396355,11212205,12929247,9102891,12737033,11689571,17556679,13839676,0,5890958,12968793,24241682,38349675,7616194,39164132,49431892,665780,6962061,11198273,17772795,19830887,32166228,5,805891,391136,414755,145551,85305,124918,122179,122580,205358,210337,161053,92755,96597,141481,103667,111738,110927,110780,110043,110339,124283,127785,34,5,0,0,0,0,0,0,0,0,0,99051,1294136,582513,685280,1197957,420669,4279606,0
2130318,3355,2297,1058,478,415,474,386,544,575,483,47,0,11,180,1965,1152,2350,1000,39,695,728,686,779,423,123056579,85127673,37928906,16666233,16220198,17046494,13661749,21532999,22054113,15874793,1288170,0,334019,6328749,70294238,44811403,86536405,36271507,1724358,27090323,27885034,25174306,27004983,13928908,8,364333,171251,193081,30916,75208,71427,54570,55926,76286,52301,61494,55245,65491,89790,40012,48296,48718,49565,49437,52672,58954,56690,266,37,1,1,0,0,0,0,0,0,0,92359,562218,339507,414865,634830,276367,2320146,0
2130317,3213,2082,1131,445,373,366,357,541,590,541,0,16,565,843,1581,208,2011,1202,40,371,436,881,815,670,43560512,27887509,15673003,6510533,4875939,4732763,4629358,7138916,8614424,7058579,0,254536,7130961,11954404,21623557,2597054,26380822,17179690,461527,4780030,5493260,12465990,11543013,8816692,2,507036,241268,265767,68133,52511,66940,68868,85670,164912,133286,100741,59209,60574,87497,65729,70799,70871,70728,69770,69764,76114,78991,107,9,0,0,0,0,0,0,0,0,0,59304,665209,285237,341299,544849,206053,2101951,0
2130315,3867,2683,1184,547,660,472,412,592,653,531,93,0,100,283,2382,1009,2303,1427,88,649,1102,681,695,513,76379418,54820209,21559209,11613983,14037083,7596489,9083175,12489479,12710504,8848705,1782738,0,1199837,4824795,49699696,18872352,45326958,27005139,1001739,12010773,17732099,14006473,14215750,13365261,5,608991,294570,314419,82675,97895,117969,98827,92223,119402,134413,126075,85791,86224,107233,69254,89427,89230,89990,90938,89987,81086,78332,1372,15,2,0,0,0,0,0,0,0,0,67349,1625715,473504,591653,1463452,371709,4593382,0
2130313,18070,12398,5672,1727,2583,2663,2788,2637,3390,2282,862,58,599,1210,9340,6001,10730,7157,251,3399,4825,3776,3568,2068,267718316,182123200,85595116,27307857,37652071,36356213,43176180,37630879,48489483,37105633,25681579,3845281,5670514,13118912,126423044,92978986,163528105,100079029,3310093,40373589,70993367,55697476,59424182,33808430,6,927061,427025,500035,127282,135680,190332,150133,129441,194194,272792,193979,100956,98846,140076,120413,131700,129745,131075,130987,131673,134653,137225,3469,33,0,1,0,0,0,0,0,0,0,41088,565975,297581,336592,610691,244528,2096455,4
2130312,4341,2706,1635,595,441,593,430,647,878,757,132,0,18,244,2655,1292,2390,1549,35,301,799,1227,1061,517,134322681,82972912,51349769,20384010,12395164,19454335,12713374,18026029,26705412,24644357,2640843,0,424592,7642396,79838208,43776642,74484700,44502460,1002613,9919273,24523853,34342591,35066425,14132405,7,324372,153239,171134,50104,41469,66371,56904,46201,63323,67650,61378,43877,46110,64177,41183,46417,45387,46428,46219,47044,47036,45842,619,9,0,0,0,0,0,0,0,0,0,78896,959771,472068,564626,911739,334133,3321233,0
2130311,27304,17673,9631,2907,4089,3370,3546,3761,4919,4712,135,315,2571,4827,14570,4886,15908,10623,63,2909,5742,6272,5796,5752,366940035,241471546,125468489,38912217,53609344,45354076,49936997,53658912,65088561,60379928,2005358,6214863,34613730,61743058,189667738,72695288,220183568,127789059,504208,31462019,65891113,90266047,80109678,79739565,9,834795,404469,430325,150739,119598,139267,148921,115389,160880,191799,158386,104793,114298,163794,101724,117396,117446,118678,119077,120621,124619,116958,377,17,0,2,0,0,0,0,0,0,0,88372,1397721,789487,936503,1572387,636273,5420743,4
