상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130324,5617,3488,2129,586,586,732,668,916,925,1204,0,28,787,951,2802,1049,3167,2444,74,1080,1055,1137,1493,771,78754234,48791565,29962669,9280465,7753212,9338572,9418536,13000780,12007061,17955608,0,353227,11730746,13131606,39933561,13605094,45673909,32741480,1240379,14170562,14064230,17204214,21622537,10113467,3,482114,219228,262886,78473,55491,67182,72947,75406,132617,140113,96895,53230,52866,76832,62178,68621,68313,67785,67607,67651,70497,71640,154,5,0,0,0,0,0,0,0,0,0,52638,658719,347031,403754,604119,217740,2284001,0
2130323,498,226,272,12,36,80,36,62,92,180,0,0,24,73,370,31,225,261,0,69,63,125,137,93,16618152,6055872,10562280,497229,1313448,1960029,816218,1468948,2255048,8307232,0,0,4304199,1894880,9786012,633061,9277610,6666917,0,5342959,1838300,3035533,3197565,2530169,2,330904,158816,172088,47156,44216,42378,51672,56045,89437,93053,65867,35490,37164,56149,43181,47203,46150,46575,46874,46911,48424,48766,171,6,0,0,0,0,0,0,0,0,0,42834,737815,353955,442203,687866,233990,2498663,0
2130318,6137,4144,1993,779,920,776,762,907,1078,915,41,0,1723,1203,1870,1300,3941,2086,206,1945,1435,1245,840,355,175473293,109296556,66176737,20760819,21707929,23350483,18761014,24716311,36891114,29285623,2522912,0,29642026,30171277,56114759,57022319,113986239,58209004,2959608,53591119,44787521,37149354,26492129,7215511,6,385128,180166,204963,30475,84569,75600,57796,59552,77136,57463,61834,57919,66525,91738,49649,49423,50126,51101,50974,56480,65310,61714,266,37,1,1,0,0,0,0,0,0,0,103606,626015,367926,454100,682044,296793,2530484,0
2130317,4229,2774,1455,569,480,561,571,593,820,635,0,0,423,740,2585,481,2413,1816,65,678,802,1162,949,573,60041154,38513362,21527792,7622970,6256643,9029962,7730324,7873463,11507244,10020548,0,0,5995576,10350745,36676951,7017882,33985464,26055690,1001963,9567076,10686588,16968735,14202763,7614029,2,477008,226535,250474,62273,48842,63994,65467,82538,153897,129807,94122,53934,54615,81691,62841,67263,66423,66116,66160,65470,71002,74574,107,9,0,0,0,0,0,0,0,0,0,63176,718135,293121,358004,557500,214751,2204687,0
2130315,39488,27877,11611,5314,5589,5407,5450,6117,6403,5208,869,2565,13266,7224,12685,2879,21900,15886,1107,8185,11204,8423,5726,3139,650429116,429010507,221418609,87631382,81162561,73492107,83832468,102891989,111704293,109714316,8378352,19153597,239450327,115513750,232295980,35637110,350200145,223692905,10056655,107850583,168340930,131851592,88746775,67046515,6,603305,290213,313092,88105,94929,116430,98347,88331,117162,134802,125466,84689,84559,104977,68814,90347,90739,89443,89384,88384,78108,76901,1372,15,2,0,0,0,0,0,0,0,0,73375,1635336,497289,616567,1450044,384475,4657086,3
2130314,9247,6373,2874,1491,1574,1415,962,931,1672,1202,0,205,1164,2135,4231,1512,5248,3766,0,1583,1339,2439,1841,1812,149528899,105013988,44514911,26706805,20769769,22026585,23636389,11874440,23679064,20835847,0,1142184,21926372,39640545,64650457,22169341,80709749,58186084,0,17519139,17298066,39235916,33399405,31443308,3,1296856,588321,708534,163444,149460,202424,199982,218325,363219,339782,257536,145657,147655,229028,177198,183533,180381,181606,180711,181153,193410,196058,202,21,1,0,0,0,0,0,0,0,0,58498,404164,202783,249958,372185,167790,1455378,0
2130313,7719,5043,2676,969,1099,1066,779,1130,1196,1480,0,30,932,1121,4021,1615,4419,3282,68,1010,2506,1691,1443,984,112193825,74083272,38110553,13891736,15167008,15582199,12635498,16806831,17184332,20926221,0,408764,14484845,15482528,58635568,23182120,62874030,48537212,592103,13733003,36731170,25199884,21065981,14089102,5,974321,445112,529209,132640,140225,200135,160923,135946,204451,297352,204454,101998,99219,144568,126729,140413,136985,136864,136650,137407,141156,144848,3469,33,0,1,0,0,0,0,0,0,0,44603,586559,308556,342641,609508,250482,2142349,0
2130310,11683,8925,2758,2060,1923,1627,1676,1639,2007,751,0,799,3824,2791,4244,25,5394,6060,395,2506,2472,2763,2297,1026,95821740,67617451,28204289,15249003,16189428,11265856,12757453,12155711,18702934,9501355,0,6102942,30439385,22389459,36328935,561019,41141904,46168585,1826574,15680076,15882923,22305214,19936477,11679224,5,209176,94266,114910,50557,20526,22009,35826,32467,47792,23792,41123,37885,40863,46809,18706,29521,30416,30581,30070,30707,29533,28348,298,30,0,3,0,0,0,0,0,0,0,14393,405469,202457,268708,347349,141397,1379773,0
2130307,8729,5586,3143,1068,996,996,1147,1379,1681,1462,0,20,1259,1460,3715,1279,4138,3323,373,1158,614,2527,2255,533,117268456,73980617,43287839,13476008,12467195,12467195,18431475,17138744,23025299,20262540,0,135918,18585313,21458618,47803837,16817575,52640400,42951669,4236611,13661259,7877197,31468116,30740502,7608382,2,196452,89597,106856,67325,15692,17337,45487,26203,24405,36859,36745,24181,29609,41618,27440,27440,27584,27586,27437,27357,29794,29254,57,9,0,0,0,0,0,0,0,0,0,51090,1358315,759255,926247,1422901,557968,5075776,0
2130303,224,119,105,27,33,16,28,15,62,43,37,0,32,22,79,54,114,77,0,10,27,21,88,43,7280452,3508057,3772395,586299,954549,628158,955371,383680,2219072,1553323,1620188,0,761067,1038485,2290863,1569849,3557794,2471266,0,292740,730316,669416,2516135,1820455,1,414182,209919,204263,21126,96272,107509,79051,51766,58458,73337,76208,59556,61065,90067,53949,59645,63048,62096,62497,65174,55512,46209,242,5,0,0,0,0,0,0,0,0,0,164044,1659663,652777,793291,1644781,635309,5549865,0
