상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130326,24798,16706,8092,3233,3291,3003,3272,3907,4508,3584,176,462,6487,3011,12433,2229,14541,9213,209,2144,5012,6006,6101,4282,755793380,488602487,267190893,91115305,93943441,85821408,99162503,118559830,151025933,116164960,6421825,5535972,126130190,52915003,436513449,128276941,423893366,273883409,4918251,67155989,181557714,186997712,151938120,105208990,9,147720,68341,79379,29412,13392,23412,27522,20231,33750,36781,32895,17637,17495,24680,18232,21216,21130,21065,21411,21288,20901,20709,935,11,0,0,0,0,0,0,0,0,0,93697,1199645,451428,532729,958578,328561,3564638,0
2130325,7184,4948,2236,434,758,1499,892,1365,1529,707,78,72,635,974,3704,1721,4143,2649,26,546,1335,1532,2042,1313,210479042,140417781,70061261,9240104,24297792,42049807,23515555,41314523,45832364,24228897,3246768,3844240,11837060,20441066,103648373,67461535,129287223,60059973,515360,17940244,38641934,37008377,57901568,37339713,6,235226,103286,131940,42483,24487,31586,37835,34976,63858,46849,44457,31730,33199,48589,30402,33171,33181,33559,32384,34548,33996,34387,89,2,0,0,0,0,0,0,0,0,0,63350,818407,424572,504871,758609,283802,2853611,0
2130324,45638,28909,16729,4955,5480,5473,5978,7023,9185,7544,0,1831,11149,13289,18308,1061,24567,19565,21,1832,4187,8179,14702,15209,1171727701,722137602,449590099,108494506,158966097,128749111,142253513,183674375,259993692,189596407,0,27428775,204193693,263571176,576271102,100262955,678343194,389695052,215042,68430266,118925563,200696074,336203091,343568208,13,459772,208444,251329,72778,50427,65855,71189,70730,128794,131738,90775,51528,51448,73557,60725,66246,65632,64805,64810,64266,66298,67717,154,5,0,0,0,0,0,0,0,0,0,45326,599357,325013,383230,559853,192553,2105332,0
2130323,54953,36781,18172,7434,6011,7222,7575,8539,10188,7984,339,958,8736,10214,27837,6869,31504,21271,135,3601,8161,11719,15614,13545,1725983507,1143901184,582082323,229928516,191473679,226692200,230262950,265543839,341417355,240664968,28662711,11696737,136307963,206322055,963531014,379463027,1047374289,513380725,2195341,114985342,304334668,342039860,433510680,363689121,43,369289,181530,187759,50918,46914,47037,59827,62994,101601,102616,74772,40196,41953,61826,47925,52185,51701,52464,51840,53128,54054,53919,171,6,0,0,0,0,0,0,0,0,0,36953,706452,352812,427903,685947,226860,2436927,0
2130322,17944,12476,5468,2360,2287,2652,2329,2848,2985,2483,320,166,3993,2625,7953,2887,10946,6331,31,1753,2833,3727,4757,4176,587881746,389369024,198512722,75746931,71486621,78843316,66554015,96738141,109663993,88848729,19467343,2934330,81114412,67650874,284047257,132667530,367773689,196009963,855713,71095081,94896897,115177941,155735713,126022308,29,212109,103050,109061,26827,25428,32328,29958,37399,60168,58376,42621,23815,23903,35526,27870,30134,29403,29259,29066,29318,31580,33349,8,9,0,0,0,0,0,0,0,0,0,7853,123930,59641,70452,107590,46202,415668,0
2130321,6382,4581,1801,964,838,985,902,892,857,944,0,0,1646,396,3200,1140,3261,2764,75,761,1263,1261,1711,955,252657426,169932773,82724653,44783949,30063582,36875199,28699029,29511014,38707474,44017179,0,0,28702028,12096026,156979775,54879597,136480778,102485347,4684211,31297095,49341488,50396035,70704004,32543293,4,177811,82931,94881,35135,20030,25433,30462,28371,38382,35499,37073,26945,25966,32181,20148,25983,26052,26111,26444,25884,23494,23845,433,7,1,0,0,0,0,0,0,0,0,10650,188740,80951,95183,165789,60391,601704,0
2130320,96134,65287,30847,11846,12436,11947,13286,15772,20039,10808,43,3893,20397,21894,46654,3253,49442,45571,413,6578,15345,21067,26530,25078,1850554122,1174733385,675820737,209161438,218395950,212362142,229446551,305367304,415286163,260534574,830925,57592432,363673355,388557307,927152236,112747867,1005628944,797069955,7213559,122359530,297419697,403082403,483123765,489499945,26,124840,60987,63853,12910,14991,20158,22122,22654,32003,25324,22973,16461,18440,26077,15566,17575,17544,17461,17517,17723,18838,18183,173,12,0,0,0,0,0,0,0,0,0,90578,1431178,528884,622547,1116381,379091,4168659,0
2130319,9268,6584,2684,1142,1335,1166,1323,1618,1807,877,80,274,1704,1243,4867,1100,6131,2957,9,630,1187,1501,2838,2924,343357599,235762748,107594851,45067691,44138599,43059654,44741542,58755262,71755850,35839001,3012217,4693368,37645554,27608776,197554893,72842791,239285108,93291335,225054,29854953,62031498,52263211,95345919,92855809,18,731436,353713,377723,120134,80130,115257,114166,114227,187521,198720,143026,78399,85147,129722,96425,102902,98342,99387,98667,99520,113627,118992,34,5,0,0,0,0,0,0,0,0,0,104006,1357947,622524,733475,1234352,437056,4489360,0
2130318,103834,67449,36385,12043,12147,13215,13217,16827,20313,16072,8996,2997,19135,10415,38827,23464,60651,40994,1157,31261,25235,17338,15154,11502,4281704917,2712123831,1569581086,469979874,479017360,538604958,503918556,720603083,923222573,646358513,450910516,64184157,435654224,256979510,1761491204,1312485306,2607966864,1542941702,38985566,1341645697,1108231002,680204470,573299333,408542498,60,381567,179019,202548,29357,82373,75471,58588,57107,78673,60077,63587,57677,65397,87318,47512,50086,50474,50975,51222,55923,63001,59886,266,37,1,1,0,0,0,0,0,0,0,76070,450162,273222,335191,489368,211449,1835462,3
2130317,59395,36802,22593,7190,6268,7140,7297,8907,12951,9642,313,1440,10981,12877,28258,5526,34007,24435,113,3164,7956,13476,18369,15364,1920688966,1158004512,762684454,216193693,193953652,224198630,238720535,284938002,441142603,321541851,16579460,34376291,274533738,370494524,973632378,251072575,1146653254,696615570,2815324,105829788,281222003,422841144,567210173,463350396,44,446769,216374,230395,60001,44659,58165,62138,77094,144713,120623,89977,51523,51652,75237,57756,63718,62026,61636,61430,61234,67139,69586,107,9,0,0,0,0,0,0,0,0,0,61994,702388,295521,362134,557312,206252,2185601,0
