상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130326,2807,1858,949,322,306,317,377,536,551,398,523,0,0,16,611,1657,1778,941,11,419,720,953,438,177,112801434,73390794,39410640,13871611,12194853,13008390,14159352,20156588,23143192,16267448,22479807,0,0,484300,22719499,67117828,67209807,40624143,398578,18483372,29761594,36706085,16378175,6106144,2,140332,64196,76136,26379,13049,22850,25679,19787,32587,33586,30929,16979,16926,24248,17663,19967,20241,20307,20391,20302,19747,19376,935,11,0,0,0,0,0,0,0,0,0,91130,1211862,442720,502951,933081,312779,3494523,4
2130323,891,700,191,188,180,154,50,128,129,62,29,0,37,33,389,403,753,90,0,4,15,55,243,528,42540271,32525784,10014487,10263890,7926256,7375108,2319276,4641254,7289749,2724738,1572790,0,1642354,1209571,23321806,14793750,38808119,2500527,0,18495,1450006,2860040,10676323,26303782,4,343847,165124,178722,50900,45451,43897,53197,57061,93341,96348,68617,37497,38460,58125,44799,48688,48658,48312,48348,49173,49642,51023,171,6,0,0,0,0,0,0,0,0,0,35105,666091,331085,387094,639959,211662,2270996,4
2130322,3424,2213,1211,358,421,440,434,560,535,676,749,6,6,124,894,1645,2255,1121,19,387,550,780,736,904,120986357,78302936,42683421,12203987,14811462,14212079,17275213,19800195,19920681,22762740,24957781,129799,97349,3822723,29877510,62101195,77929088,41225787,1343419,16257362,22160990,26685409,26810566,25897130,5,254824,125456,129369,32889,32452,40365,35291,44157,69671,73172,52250,28375,28067,40849,32112,35995,35377,35096,35142,34931,37960,40325,8,9,0,0,0,0,0,0,0,0,0,8051,107533,52868,62307,94443,39790,364992,4
2130320,340,265,75,43,63,26,63,70,37,38,43,0,0,11,91,195,234,95,0,64,100,107,47,10,14130774,10668444,3462330,2071027,1709925,674411,3287092,2925989,1874544,1587786,3828744,0,0,153999,2623300,7524731,8804518,4354466,0,2641886,4258880,4742121,1266512,249586,1,127787,62156,65631,13462,15504,21348,21758,22610,33105,25032,23949,17386,18989,26740,15690,18023,18174,17929,18112,18383,18920,18246,173,12,0,0,0,0,0,0,0,0,0,87290,1376519,506871,577273,1069405,354369,3971727,4
2130319,1352,879,473,112,236,42,139,350,375,98,0,0,84,181,669,418,1017,266,0,0,28,98,557,600,57581563,37264386,20317177,4314525,12298172,1837557,8695639,10118493,17050595,3266582,0,0,1500905,5861606,23588009,26631043,43879424,8499260,0,0,589140,1837557,23872494,26079493,2,710911,346382,364528,114675,76664,111565,110186,116078,181744,192752,139952,78308,83414,123900,92588,100183,97907,97560,96828,97702,107095,113635,34,5,0,0,0,0,0,0,0,0,0,115042,1373463,627275,733690,1265645,449710,4564825,4
2130318,89078,55464,33614,10273,9580,9996,10466,15149,18432,15182,25177,255,1013,1044,19794,41795,54745,34264,1043,41628,28445,9283,6446,2163,4003368704,2470737784,1532630920,450362825,424051897,437248143,479281974,679792945,850996612,681634308,1176150838,12311296,20946255,29167734,861223200,1903569381,2523805660,1472492267,38798579,1814259846,1347857640,444243600,256649620,94488642,45,384799,181045,203753,31220,85574,75364,57924,57752,76964,59499,62507,57358,65910,90546,48977,50582,51084,51661,51945,56315,62462,60750,266,37,1,1,0,0,0,0,0,0,0,73690,433367,264019,311264,469826,202724,1754890,2
2130317,781,511,270,121,93,102,93,102,120,150,93,0,19,74,344,251,481,291,9,75,216,180,150,141,37749895,23583226,14166669,5084756,3495189,4843067,3374344,6785870,5028981,9137688,6116580,0,613517,3114064,15551731,12354003,24352142,12523955,167323,4862100,11113956,9396234,7113106,4223379,2,447769,215692,232078,59757,44605,59827,60894,77844,144840,120008,87266,51094,52431,77785,59184,63322,62202,62054,61669,62856,66452,69214,107,9,0,0,0,0,0,0,0,0,0,61179,675901,286010,341282,541253,200756,2106381,4
2130315,1471,910,561,211,125,139,206,229,269,292,520,0,0,4,247,700,815,629,4,551,448,215,170,55,62103417,36219297,25884120,7888127,6054856,5239771,8632823,8403720,11952794,13931326,23509702,0,0,134503,10121317,28337895,34649948,26225013,191540,24141049,19863593,8931700,5256044,2491035,5,613069,295242,317827,87205,96597,119792,100007,89757,119712,137349,126797,85624,86314,106592,70393,91063,91953,92025,91605,90039,78894,77491,1372,15,2,0,0,0,0,0,0,0,0,68270,1606707,465411,580172,1425471,360978,4507009,4
2130314,6223,4400,1823,689,799,864,1098,950,1126,697,961,0,0,143,2426,2693,4140,1984,0,536,902,1528,1616,1542,224360224,159442047,64918177,23903770,30767302,30578234,39443075,34749666,40658512,24259665,38205496,0,0,4157587,79919471,102077670,151333979,66976506,0,24834306,35445821,51279789,56916361,49834207,11,1253487,575381,678107,163829,143114,194341,192904,208754,350547,326054,250339,143026,143658,219651,170759,177973,176080,175456,175015,176143,186035,186786,202,21,1,0,0,0,0,0,0,0,0,32015,205600,92619,104852,154129,70931,660146,0
2130313,836,642,194,131,115,128,156,112,132,62,261,0,0,10,101,464,575,235,0,99,158,142,261,151,44244376,32406402,11837974,5359621,7341394,5738035,8916492,5050860,7762969,4075005,15306332,0,0,645572,4041172,24251300,31080796,11877795,0,3168546,8622287,7593607,14382084,9192067,9,995031,453743,541288,137571,145880,203055,163238,137462,207825,300563,209545,106445,102750,147401,128329,142660,142495,141493,141830,138259,142228,146065,3469,33,0,1,0,0,0,0,0,0,0,40771,570561,298493,336215,602727,232218,2080985,4
2130312,1258,757,501,153,138,116,126,224,253,248,0,77,169,254,663,95,701,504,0,119,254,193,272,366,26180019,15092304,11087715,3134504,2834882,2081229,3162303,3879386,4440544,6647171,0,1513473,3203646,4302259,13228461,3932180,15860528,9236243,0,2869471,4529772,3893935,5815462,7988132,4,311851,148875,162976,52245,37858,62389,55320,44134,59907,61831,58591,42987,45237,63426,39779,44681,44422,44971,44761,44667,44488,43864,619,9,0,0,0,0,0,0,0,0,0,82080,981004,470945,567370,895563,330184,3327146,4
2130311,38823,27157,11666,3727,4763,4948,6419,7300,7475,4191,3075,0,376,2001,14769,18602,20645,15785,487,9848,12259,6454,4759,2617,1579660826,1132424927,447235899,144019021,195089576,196096833,285906575,311312922,307638629,139597270,184972666,0,9161551,36579641,583591437,765355531,930316444,486091075,6726804,350515432,452929388,268608246,210948738,126678914,19,842789,399472,443317,144467,128668,147168,145400,117548,159538,199097,156427,101088,110730,165038,110410,118049,119364,120137,119422,121086,126108,118624,377,17,0,2,0,0,0,0,0,0,0,93629,1382331,778156,949073,1554633,640413,5398235,0
2130310,14546,10527,4019,1953,1898,1954,2136,2586,2345,1674,2298,0,0,87,4551,7610,9282,3898,263,2535,2631,2300,3237,2210,594216860,430885611,163331249,74395522,76148388,90662433,83631670,106047598,98199129,65132120,89819802,0,0,4286048,178660408,321450602,364934011,152965736,12767951,109974807,105843533,95784163,118919607,74609688,9,212630,96734,115898,49679,22873,21855,36572,32848,48804,23485,40565,38513,41860,48650,19558,29703,30462,31326,31038,31496,29890,28715,298,30,0,3,0,0,0,0,0,0,0,17564,405548,201058,266278,358025,142854,1391327,4
2130306,237,185,52,24,25,26,62,48,26,26,76,0,0,0,38,97,92,7,0,0,36,51,7,5,116044934,78656660,37388274,5882586,17058167,11287040,20298812,24130055,18694137,18694137,48563856,0,0,0,17380385,31406556,45732859,6525,0,0,16577334,25457599,3556127,148325,5,152158,75352,76806,6374,32021,46392,32271,18953,16147,37362,34266,22337,21016,21542,15637,22726,23982,24168,23863,22398,17655,17370,235,4,0,0,0,0,0,0,0,0,0,42091,281171,126737,143298,235419,95220,923936,4
2130303,7375,5235,2140,899,1053,1073,980,1230,1054,1086,2168,10,0,0,1477,3720,4225,2891,0,2873,2812,775,419,239,397427975,281706657,115721318,46821458,56532979,62751534,48403931,67196755,58130739,57590579,113047370,444109,0,0,77460830,206475666,229523778,149391058,0,146976118,156949890,44114757,21931025,8943045,7,414561,209284,205277,23514,98349,104666,79710,50753,57570,72709,76770,60197,62002,89756,53125,59024,62913,64203,64888,64457,53710,45368,242,5,0,0,0,0,0,0,0,0,0,126413,1572231,579758,704601,1502829,565506,5051338,4
2130302,1664,1032,632,97,231,176,231,297,371,261,431,0,0,0,176,1057,783,808,6,717,626,134,72,36,102313861,64169597,38144264,7444487,17525375,8170408,12574531,18454796,22148184,15996080,35615690,0,0,0,6645670,60052501,49165203,43404913,109344,40736623,35106937,8589559,4349451,3678202,2,55872,26836,29036,4378,14438,13517,10478,6776,6286,7687,10095,9685,10100,12373,5935,7849,8428,8567,8593,8775,7599,6063,58,0,0,0,0,0,0,0,0,0,0,86560,1798982,948977,1170233,2116450,736211,6857413,4
2130301,2671,2281,390,311,502,419,491,558,334,56,187,0,0,57,773,1654,1501,801,12,559,678,593,305,157,126229363,109252912,16976451,13193241,22995709,22682324,25324925,25056713,14113634,2862817,9531433,0,0,2780942,35322200,78594788,68145786,35203621,683236,24636041,31756383,26324370,12970201,6979177,5,66548,33207,33343,7627,10297,15666,12490,8258,12212,10592,13697,11390,11286,12793,6791,10073,10684,10878,10741,10264,7248,6660,35,3,0,0,0,0,0,0,0,0,0,55472,1190307,502711,601379,1050524,339460,3739853,4
2130299,20073,14312,5761,1997,2712,3276,2636,3691,3238,2523,0,0,0,1205,7983,10885,9509,8906,57,4576,3917,3408,3860,2599,1081798323,784325010,297473313,116759340,152585421,173469296,148618030,192892923,153711429,143761884,0,0,0,48311028,388254436,645232859,504344384,459983782,3681181,234788734,216968409,187606538,198644432,122638873,2,40732,17045,23687,6621,6448,6632,7754,6323,6955,3867,6681,8115,8957,9862,3250,5574,5594,5703,5789,6020,6278,5773,1850,11,0,0,0,0,0,0,0,0,0,182224,3813342,3193955,3815164,5335839,1737042,18077566,4
2130295,4529,3127,1402,482,535,566,513,1031,801,601,1721,0,16,0,564,2228,2952,1480,0,1503,1273,1000,412,244,231678888,146820813,84858075,22190681,22625053,27334564,28846410,45824105,47736136,37121939,82819525,0,295244,0,27131050,121433069,153915978,72217066,0,84440346,73611687,40544501,20637647,6898865,3,272831,125971,146859,27727,57554,52575,38131,38432,58413,59232,49001,31822,35927,57598,39250,38441,38099,38015,38140,38209,40823,41103,122,18,1,0,0,0,1,0,0,0,0,30278,510205,247678,286783,466468,230656,1772068,4
2130294,4309,3224,1085,550,474,585,720,895,611,474,40,211,776,1039,1930,313,2459,1850,22,259,382,872,984,1790,89428639,66866955,22561684,9619529,6092426,12929504,21360828,16864668,15028592,7533092,1999369,2814101,16524296,23091388,33406354,11593131,67462898,21965741,236060,2495495,4159157,10685701,15980881,55871345,4,282176,130326,151850,43363,50183,43018,39605,36531,69477,57969,57488,40074,41014,52526,33103,40280,40498,40740,40476,40386,40110,39685,102,12,0,2,0,0,0,0,0,0,0,128139,1015037,537643,629510,1000370,440647,3751346,4
2130290,29592,20280,9312,3730,3729,3656,4294,4871,4708,4604,5935,135,1420,2114,8110,11878,20704,8779,174,7803,6584,4556,4745,5620,1333568123,898437690,435130433,158393900,170329715,168612420,186895485,214206170,224897879,210232554,262593288,3743108,48612725,94309350,375439674,548869978,987725476,335034640,6182770,315942467,274833662,227065809,250949536,247785870,25,555518,262026,293492,48577,137009,100823,67917,72207,128986,130132,112733,65968,67827,103826,75033,79617,80555,80634,80328,79710,78045,76630,417,30,1,1,0,0,1,0,0,0,0,145335,1824671,807423,918415,1610222,639573,5945639,0
2130285,96375,56602,39773,9497,9473,10270,11167,16195,20669,19104,36001,4738,271,1339,14675,39351,61856,34519,1391,50054,26134,9213,6913,2670,4206158647,2433816610,1772342037,400126019,412100582,440753734,476654712,704181563,948222265,824119772,1643383720,206636087,11600945,40544421,583997522,1719995952,2773682804,1432475843,59390748,2168108504,1156518679,439508771,283976714,98655231,62,910804,475621,435184,72375,317239,185091,112150,96822,127129,110846,139016,124545,150413,242624,143361,121197,121595,126039,127152,135066,144364,135391,615,31,1,0,0,0,0,0,0,0,0,366837,4714668,1993005,2327789,4491087,1971134,15864520,2
2130283,4315,3000,1315,572,541,644,468,775,722,593,193,66,209,473,2072,1302,2927,1363,22,539,778,493,1567,892,94790430,70278338,24512092,16438523,13178434,14284782,12592319,13784280,13901831,10610261,7880287,788509,2047934,6310302,38112051,39651347,71940627,21190462,131419,5781689,10311181,11506810,45802392,19597597,5,988116,508353,479764,63837,302003,197663,124703,124310,175602,187091,165475,118319,136678,222717,157835,133061,130620,134826,134580,139666,157385,157978,25,5,0,0,0,0,0,0,0,0,0,360739,4733177,1993925,2339918,4526172,1995832,15949763,4
2130281,264,226,38,62,63,39,37,25,32,6,31,0,6,18,106,103,164,76,0,37,19,44,50,88,9006300,7262134,1744166,1963757,1737893,1499481,1088536,972467,1449289,294877,1512029,0,188219,495645,3212278,3598129,6223789,1897879,0,1176371,665042,1719072,2296277,2264907,1,61091,29876,31214,9526,8506,8828,9406,8980,15845,17363,11852,6289,6293,10443,8851,8665,8561,8471,8446,8473,9052,9422,1,4,0,0,0,0,1,0,0,0,0,61121,417454,194536,214128,303542,122868,1313649,4
2130279,1063,627,436,111,70,110,152,184,233,203,202,0,0,0,293,568,759,283,10,40,60,192,406,334,37358270,22176096,15182174,3825908,2580970,3836030,5121454,6811734,8097159,7085015,8248981,0,0,0,9605255,19504034,27034392,9139668,880566,1224696,2024290,7155864,14564765,10323879,3,400902,191170,209731,27466,94511,78308,54043,54970,91604,121424,83264,40123,40506,61820,53764,56625,55371,55303,55710,55565,59700,62629,120,14,1,1,0,0,0,0,0,0,0,165334,2031964,768024,899198,1729741,745588,6339849,4
2130278,10542,7461,3081,1081,1740,1673,1243,1724,1338,1743,2154,0,9,205,3470,4704,6830,3543,10,1157,1593,2227,2658,2727,374105716,259728055,114377661,43754376,45489788,67419654,38739122,64325115,35378491,78999170,99266867,0,448997,7003035,99702342,167684475,232007700,132522480,71381,35721171,49725664,106713838,97050613,75247513,6,311743,138646,173099,53994,41052,41940,49706,46195,78857,92178,63268,34311,34829,48194,38965,44553,42990,42769,42817,43292,47052,48272,75,12,0,0,0,0,0,0,0,0,0,73952,603295,329589,397620,609223,243405,2257084,4
2130275,5251,3675,1576,483,744,1009,693,746,943,633,938,43,21,215,1348,2686,3276,1756,0,891,1759,1330,767,284,181926327,101808984,80117343,12884614,20095559,28155576,18175684,22497551,58265199,21852144,53114231,5825623,182319,5400927,28302751,89100476,122224308,51355886,0,27042082,55699044,62746750,20413899,7678418,3,222924,121864,101060,11930,46616,57264,41724,32393,32998,72111,46664,21876,20141,29064,33070,32900,34365,34582,34325,33213,27045,26495,168,1,0,0,0,0,0,0,0,0,0,383679,4737119,1568391,1841116,4284413,1464191,14278909,4
2130274,34309,24517,9792,2958,4148,5093,5082,7236,6695,3097,2581,49,107,1290,11529,18753,21986,10280,27,9126,9001,4741,5317,4052,1889495625,1347772050,541723575,159246843,212973765,279942943,277864259,417744240,379400723,162322852,140304899,4044498,4991037,62209724,651553063,1026392404,1251591049,503031034,1121491,476665511,492281557,268521391,288448726,227583406,18,516602,258039,258561,37700,125860,103053,71794,70522,107671,95811,100087,61766,65290,120321,73329,71123,74376,75999,76679,78327,74739,65359,389,16,0,2,0,0,0,0,0,0,0,272505,3526734,1787137,2087442,4072161,1775038,13521017,2
2130273,10589,7198,3391,1079,1150,1317,1500,2152,2067,1324,1290,0,20,280,3307,5692,6260,4120,81,3200,2980,1458,1766,893,506005331,326256191,179749140,49245696,50942408,58709733,64091646,103266708,102372648,77376492,67395325,0,357184,8734514,136366932,293151376,304970711,188144775,2854516,163156896,149900106,65570081,76654026,34979865,12,618621,280682,337939,95402,88009,89894,88774,94471,162072,104942,118143,84097,93820,139419,78198,86653,88511,89250,89453,90730,89683,84341,141,39,0,1,0,0,0,0,0,0,0,116298,2322926,1302332,1545668,2576456,910321,8774001,4
2130271,968,661,307,80,132,120,161,168,139,168,173,9,59,80,399,248,608,360,0,63,191,98,341,275,39849089,29838372,10010717,3209108,5194855,5096326,8315312,8022771,4460322,5550395,12826553,230488,754776,1453850,14468525,10114897,26577018,13272071,0,1542500,7704890,5434208,15645604,9521887,5,231226,104455,126772,25755,38964,39567,38781,31205,56952,53133,43782,25653,27216,45349,36093,31866,32522,32344,32211,31880,34762,35642,467,28,0,1,0,0,0,0,0,0,0,40171,902990,410410,457217,762811,285337,2858936,4
2130266,6874,4710,2164,890,793,740,913,1374,1182,982,1360,0,0,45,2027,3442,4416,2326,41,2746,1910,999,711,336,224551102,152526396,72024706,28113307,25193202,23622947,27786593,47810347,38471934,33552772,43066619,0,0,1039519,61963747,118481217,147056572,72201033,842243,90953438,62386737,31490550,23069020,10515618,4,95433,54538,40895,5926,41076,20325,9278,7961,10867,22596,17627,12320,12453,17612,12822,13817,14131,14097,14071,14181,13075,12062,129,5,0,0,0,0,0,0,0,0,0,199063,2617876,1238607,1361813,2545290,1135667,9098316,4
2130265,23677,14996,8681,2644,2558,2713,2719,4362,4809,3872,7218,0,0,24,4571,11864,14977,8700,556,12536,6349,2010,1563,663,936941764,590138212,346803552,102776139,98551821,104859343,109397007,174553902,192820232,153983320,306962791,0,0,611359,158114148,471253466,607565978,329375786,22599452,491516452,266296505,75836045,56005501,24687809,9,80845,46094,34751,4834,37999,16901,7638,5857,7615,15790,15229,11752,12011,16188,9876,11655,11935,11975,11873,11865,11267,10275,115,3,0,0,0,0,0,0,0,0,0,198251,2560775,1208973,1329104,2495725,1113979,8906807,4
2130264,1533,1222,311,140,150,279,331,322,204,107,150,0,11,54,461,857,1029,493,0,176,351,470,459,66,73251647,57410557,15841090,6473626,5557243,13188405,16559192,15632091,10685769,5155321,10149873,0,214358,1736304,19785287,41365825,48039256,24140599,0,8821906,16683014,25645646,18572754,2456535,2,221945,100637,121308,44073,29560,37362,33554,30503,46893,36231,45652,27446,33074,48145,31397,32028,31807,31865,31975,31243,31527,31499,65,2,0,0,0,0,0,0,0,0,0,22908,326817,147571,170536,266322,109520,1043674,4
2130263,2714,1959,755,225,312,395,478,549,605,150,360,0,8,197,1014,1135,1644,1070,12,671,831,520,519,161,89163716,63681315,25482401,7245133,9119623,12714535,14146575,20455449,20410019,5072382,13607338,0,276532,4539072,30720703,40020071,53984158,35179558,431406,25145238,29136722,16267435,13915967,4266948,4,17775,8336,9438,1287,2736,2998,2465,3087,5204,4096,3408,2092,2255,3433,2491,2548,2512,2499,2498,2535,2536,2645,11,3,0,0,0,0,0,0,0,0,0,98621,1084289,550435,616120,969004,373875,3692344,4
2130262,8444,5566,2878,958,1015,1134,1025,1434,1401,1477,1982,0,0,23,2541,3898,4694,3750,139,2428,2332,1705,1296,544,293401172,192596645,100804527,32333084,35488256,37193528,36430949,51150828,51463292,49341235,74418095,0,0,468741,82259525,136254811,171108393,122292779,6032620,83251160,80328253,64728475,43064194,15996470,6,291276,135445,155832,31880,47994,54291,39262,42515,75335,73076,57553,33213,34155,52670,40612,40879,41017,40890,40887,40704,43031,43869,18,8,0,0,0,0,0,0,0,0,0,71785,923631,462856,522376,832676,316799,3130123,4
2130261,10891,8723,2168,1387,1291,1687,1756,2602,2040,128,486,0,0,236,5692,4477,5838,4709,0,2601,2935,2043,2250,719,686605216,541451943,145153273,86754037,80649540,102881615,112906259,158260492,138228875,6924398,27076458,0,0,6150785,361767834,291610139,352823462,306671092,0,157793085,182786997,142131315,130317268,46465888,6,342451,154008,188443,37545,58382,57339,50718,52271,86197,62290,59190,44188,50637,76581,49566,49015,48914,48405,48063,48725,50207,49122,211,30,1,2,0,0,1,0,0,0,0,105582,1473568,675305,773355,1341001,508617,4877428,4
2130257,1337,1263,74,206,292,258,220,287,54,20,13,47,949,67,200,61,1175,135,0,183,88,499,364,175,28410160,25629676,2780484,4716180,5640790,4902432,4869174,5501100,1203990,1576494,1529931,738359,13629693,1682924,7855865,2973388,24583047,3115362,0,2843057,2205839,6445065,10445514,5758934,3,197164,105332,91832,7831,64274,54176,24726,21125,25032,51290,41336,23696,24149,32671,24021,27080,27284,27302,27373,28564,30089,29472,158,2,0,0,0,0,0,0,0,0,0,272498,3204104,2000210,2406944,4108783,1357663,13350202,4
2130249,198,106,92,19,25,31,12,19,40,52,25,0,0,0,91,82,153,45,0,0,6,19,63,110,7480479,3815141,3665338,726693,1198407,780877,554582,554582,1185658,2479680,1096414,0,0,0,3639842,2744223,6428686,1051793,0,0,127490,203984,2486056,4662949,3,35221,18596,16624,1617,6281,6838,5102,5813,9571,6195,6508,5563,6129,6919,3908,4972,5071,5160,5165,5172,5095,4585,10,0,0,0,0,0,0,0,0,0,0,185487,1677466,1087626,1322900,2082722,738836,7095037,4
2130244,657,287,370,84,73,48,36,46,189,181,110,0,35,94,187,231,610,47,0,12,186,12,312,135,30736515,13331127,17405388,4050257,4023163,2369499,620433,2267775,13608391,3796997,5153809,0,1221109,2469542,9215383,12676672,27456963,3279552,0,930369,6192142,581481,19491938,3540585,8,581808,298211,283597,32139,55284,92588,107225,136844,157728,187118,115047,58758,59841,89561,71482,83065,80248,78816,79198,79434,86608,94442,95,2,0,0,0,0,0,0,0,0,0,51358,293240,176806,190307,279739,108276,1099726,4
2130242,604,247,357,56,55,27,54,55,207,150,14,0,0,69,356,165,548,42,0,0,57,69,267,197,41358257,16350939,25007318,4465593,2885460,1923640,1786237,5290009,15114313,9893005,1374028,0,0,1992341,26999660,10992228,36156019,3690807,0,0,4486864,6560130,16093003,12706830,4,413184,209161,204022,27636,38189,66139,75766,94953,110502,112673,78546,46156,48789,73316,53705,58517,56228,56003,55857,56315,62138,68126,68,3,0,0,0,0,0,0,0,0,0,54207,295810,180682,196387,287480,109296,1123862,4
2130241,6936,5602,1334,891,1113,1095,1329,1174,761,573,1110,0,0,0,1656,4170,4372,1491,0,1165,1700,1366,1313,316,357982164,286541810,71440354,45611736,56393797,59032915,68049186,57454176,40624872,30815482,61138316,0,0,0,71567317,225276531,222905167,65451841,0,49832647,87057002,77760966,61614064,12092327,9,301244,152314,148931,29997,55978,73063,55649,41174,45384,62272,63063,43974,42370,53152,36414,44299,45654,46266,45778,45022,37387,36841,500,14,2,1,0,0,0,0,0,0,0,47845,904648,316643,381564,830798,257884,2739382,4
2130236,4324,2925,1399,340,332,678,686,889,624,775,56,235,512,829,2255,437,3110,1214,0,20,111,346,2019,1828,180421055,112213600,68207455,10119746,12723366,20343541,29502473,39524474,36743440,31464015,1472758,5220504,11235323,43769152,98638177,20085141,145920668,34500387,0,521169,3777001,8116175,75767212,92239498,8,494959,232736,262224,50434,68473,74139,74524,90469,136919,137775,96350,54682,54713,84467,66972,69275,70053,68366,68798,69507,73841,75120,139,29,0,1,0,0,0,0,0,0,0,98500,710512,408106,486888,750996,263925,2718927,4
