상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130324,1598,970,604,71,257,206,218,218,341,263,6,12,147,180,970,277,1061,475,6,38,263,277,587,370,59803727,39289001,19493197,2652118,12338647,7985909,8673353,7638974,9933236,9559961,417606,186317,3461631,5159039,39451545,10709983,39313228,17271721,417606,1885162,8393715,11989372,22451061,11865640,4,506523,232053,274471,84356,56747,70321,76606,80562,137931,142738,103748,58341,57614,79840,64245,71545,71690,71191,70622,71792,75111,74572,154,5,0,0,0,0,0,0,0,0,0,46262,594849,325962,385854,578937,203902,2135766,0
2130318,21864,14157,7707,2817,2855,2434,2933,3118,4061,3646,6,11,6537,3818,9489,2003,11608,9239,179,7303,6038,3032,2965,1330,761672674,480123191,281549483,89663831,95408256,83371426,103439625,108240053,158896569,122652914,681772,728801,141196046,92778791,391364793,134922471,427591551,294962016,3525716,258329761,234676447,104360561,83758731,37902351,8,364333,171251,193081,30916,75208,71427,54570,55926,76286,52301,61494,55245,65491,89790,40012,48296,48718,49565,49437,52672,58954,56690,266,37,1,1,0,0,0,0,0,0,0,92359,562218,339507,414865,634830,276367,2320146,0
2130313,3168,2841,322,499,603,630,493,616,322,322,5,0,1551,217,1071,324,1646,1183,5,497,750,508,576,492,91507199,81110693,10069712,13309013,15113972,18029578,13409886,21248244,10069712,10069712,326794,0,30833969,4112529,38654291,17579616,49817124,28094030,47747,8628720,22384523,19288739,16385622,11175805,6,927061,427025,500035,127282,135680,190332,150133,129441,194194,272792,193979,100956,98846,140076,120413,131700,129745,131075,130987,131673,134653,137225,3469,33,0,1,0,0,0,0,0,0,0,41088,565975,297581,336592,610691,244528,2096455,0
2130310,4002,3191,811,680,527,664,682,638,616,195,0,5,1407,618,1781,191,2172,1429,140,629,698,739,926,465,161169991,130580228,30589763,19544090,19211768,27678356,27068892,37077122,27999677,2590086,0,46114,27150627,16540085,97478896,19954269,99987466,35158565,1419826,15324368,32977969,33433885,33932194,18057789,4,211820,98261,113560,46318,21102,23708,37019,34027,49645,24967,40548,37899,41800,47728,18879,29637,30054,30929,30781,31410,30451,28559,298,30,0,3,0,0,0,0,0,0,0,15951,392083,212683,266804,366210,148437,1402168,0
2130306,6371,6058,234,1170,1049,1082,1407,1350,167,67,79,0,4265,139,1244,644,2516,2586,29,1696,2050,944,274,111,304058741,282964890,17901187,50644229,53720619,45898456,60306043,72395543,13571685,4329502,3192664,0,88567148,5486807,119388584,87423538,130966833,70241673,441519,46843988,79095462,50982975,18687966,5156596,13,142637,70948,71688,5119,31557,44303,29652,16630,15377,37362,32435,19664,18244,19529,15402,21205,21018,21184,21995,21536,18025,17674,235,4,0,0,0,0,0,0,0,0,0,42097,258980,117091,129691,207898,86241,841998,0
2130304,47,36,11,7,18,18,18,11,11,11,0,4,17,15,11,0,22,21,0,0,4,0,11,28,2234478,1700765,533713,167230,772104,772104,772104,761431,533713,533713,0,320228,925102,640455,348693,0,946450,878848,0,0,302437,0,370040,1152820,1,16883,7236,9648,4544,1319,1434,3183,2453,3950,5972,3281,1663,1580,2055,2334,2452,2469,2466,2495,2522,2313,2169,138,7,0,1,0,0,1,0,0,0,0,24665,235284,129763,153589,215391,77185,835877,0
2130303,22023,17838,4043,3556,3449,3579,3484,3770,2069,1974,142,155,11297,2676,6290,1463,10547,6410,48,3556,4900,3127,3032,2295,795106940,635629809,159024052,131980254,123026897,120290467,122175441,138156750,88463896,70560156,453079,4013491,279873437,78829732,319771111,112166090,362870539,166399363,1236750,109623499,149387510,91161557,106810488,71050099,7,362410,182511,179900,18755,80492,91098,70336,47483,54245,61872,68503,54141,56146,79811,41938,52818,53081,53408,56046,56738,48574,41745,242,5,0,0,0,0,0,0,0,0,0,150896,1643570,646218,787087,1637416,610216,5475403,0
2130302,4024,3854,160,928,692,638,928,668,160,160,10,55,3223,250,366,120,2569,868,20,340,878,893,593,713,102972932,97780007,4520604,21238308,11936200,12603504,27389541,24612454,4520604,4520604,672321,587026,61329191,4149321,25583306,10651767,63609561,15972633,130451,5870262,31403394,17517967,8441638,16218481,3,50731,24837,25893,3964,12033,12111,9911,6647,6065,7131,9873,9048,9386,10942,4353,7465,7465,7465,7918,8084,6821,5514,58,0,0,0,0,0,0,0,0,0,0,87316,1780137,965468,1183534,2120248,733567,6870270,0
2130301,3873,2965,908,615,556,667,654,473,444,464,0,12,1754,847,1252,8,1716,1260,314,770,687,323,628,256,55947570,44598104,11349466,8954375,8192300,10206354,10206355,7038720,5301024,6048442,0,224017,27074578,10738132,17753822,157021,21063821,15050971,3098545,9115583,9230732,4566166,6839828,3263939,2,62631,31177,31455,5525,10002,14615,12030,8044,12416,10361,12743,10363,10529,12306,6330,9583,9516,9685,10097,9917,7326,6509,35,3,0,0,0,0,0,0,0,0,0,50329,1114965,468665,566186,994720,325112,3519977,0
2130299,30278,20864,9414,4021,3851,3889,4121,4982,4915,4499,0,127,11126,7475,11533,17,12926,15725,534,9599,7002,4428,4610,2481,557189765,372606130,184583635,69010027,69979707,74999594,74244261,84372541,94282191,90301444,0,1351940,206011344,125441117,224123556,261808,238521278,275971251,8468330,165495578,133025905,80569891,82358380,44574443,8,38888,16814,22075,6765,5807,6530,7511,5835,6440,4040,6534,7465,8357,9230,3262,5248,5337,5556,5581,5863,5892,5412,1850,11,0,0,0,0,0,0,0,0,0,168718,3779303,3261333,3894803,5225860,1577062,17907079,3
