상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,cluster
2130318,69293,43412,25881,8077,7258,9713,8767,9597,13924,11957,0,0,14215,14690,34243,6145,31217,38076,3881,30840,13795,10107,8624,2046,2564594639,1576039232,988555407,295574889,274110299,331106310,313267018,361980716,542249207,446306200,0,0,459440347,485997739,1323504875,295651678,1221946804,1342647835,111395863,1147104491,542895687,376236051,304558970,82403577,7,364333,171251,193081,30916,75208,71427,54570,55926,76286,52301,61494,55245,65491,89790,40012,48296,48718,49565,49437,52672,58954,56690,266,37,1,1,0,0,0,0,0,0,0,92359,562218,339507,414865,634830,276367,2320146,0
2130312,1185,787,398,127,228,131,97,204,238,160,51,115,126,135,509,249,731,350,0,173,303,151,291,160,78953666,55637957,23315709,6597731,16038882,9367356,5315543,18318445,17164648,6151061,1305357,8227168,7999179,8416876,36603218,16401868,45995157,16866728,0,8420605,14847557,8950343,17257343,13386036,4,324372,153239,171134,50104,41469,66371,56904,46201,63323,67650,61378,43877,46110,64177,41183,46417,45387,46428,46219,47044,47036,45842,619,9,0,0,0,0,0,0,0,0,0,78896,959771,472068,564626,911739,334133,3321233,0
2130311,986,679,307,123,138,126,161,131,164,143,0,25,236,241,476,8,470,516,0,92,272,327,224,71,12000000,8372181,3627819,1451717,1632401,1596009,1853049,1839005,1876774,1751045,0,406380,2975515,2869947,5673405,74753,5780840,6219160,0,1069878,3171360,4013793,2899767,845202,4,834795,404469,430325,150739,119598,139267,148921,115389,160880,191799,158386,104793,114298,163794,101724,117396,117446,118678,119077,120621,124619,116958,377,17,0,2,0,0,0,0,0,0,0,88372,1397721,789487,936503,1572387,636273,5420743,0
2130310,3384,2936,448,594,570,603,662,507,448,448,0,0,1320,694,1370,0,1419,1901,266,764,565,722,792,211,43964668,37466142,6498526,7158631,7233297,7673290,8265582,7135342,6498526,6498526,0,0,17525998,8116709,18321961,0,18511483,24492367,2753660,7625246,8096898,11336758,10135766,3055522,2,211820,98261,113560,46318,21102,23708,37019,34027,49645,24967,40548,37899,41800,47728,18879,29637,30054,30929,30781,31410,30451,28559,298,30,0,3,0,0,0,0,0,0,0,15951,392083,212683,266804,366210,148437,1402168,0
2130306,7734,6950,774,1282,1432,1299,1441,1496,461,313,10,0,5263,314,1892,255,2750,3103,9,1476,2434,1130,592,214,363110768,296729802,64352243,59559504,59867702,58854896,65210518,53237182,38777916,25574327,2028723,0,143241877,17810885,156193352,43835931,155000136,112178657,81526,59704494,113471870,41255657,35470713,17194532,9,142637,70948,71688,5119,31557,44303,29652,16630,15377,37362,32435,19664,18244,19529,15402,21205,21018,21184,21995,21536,18025,17674,235,4,0,0,0,0,0,0,0,0,0,42097,258980,117091,129691,207898,86241,841998,0
2130303,5003,4678,325,894,895,901,1096,892,325,325,0,0,3863,370,741,29,2481,1937,0,1183,1240,1096,829,67,87699602,79047981,8651621,15039720,14179817,14439447,18728403,16660594,8651621,8651621,0,0,55274571,3969280,25720418,2735333,39300513,30257686,0,17351429,22182925,15331384,12574318,2118147,4,362410,182511,179900,18755,80492,91098,70336,47483,54245,61872,68503,54141,56146,79811,41938,52818,53081,53408,56046,56738,48574,41745,242,5,0,0,0,0,0,0,0,0,0,150896,1643570,646218,787087,1637416,610216,5475403,0
2130299,30371,19426,10945,3454,3552,4160,3858,4402,5770,5175,0,400,10098,6887,12241,745,12528,15431,215,7960,9235,4313,3845,2389,1941901647,1178821957,763079690,199622591,217686611,263325451,235610059,262577245,412735342,350344348,0,11814779,505351516,409756374,902496364,112482614,959071698,812925347,10402001,576644729,621712901,239246006,216347145,107644263,13,38888,16814,22075,6765,5807,6530,7511,5835,6440,4040,6534,7465,8357,9230,3262,5248,5337,5556,5581,5863,5892,5412,1850,11,0,0,0,0,0,0,0,0,0,168718,3779303,3261333,3894803,5225860,1577062,17907079,4
2130291,4229,2899,1330,265,675,631,638,690,614,716,0,40,1319,604,2246,20,1880,2349,5,1114,1272,729,808,301,64180617,40899292,23281325,3029937,9536683,9011327,9247290,10074055,10164042,13117283,0,479084,22060354,8429217,32695554,516408,29818874,34361743,52968,16424610,20090329,11536272,12034184,4042254,2,21123,10052,11071,1759,5938,3900,2448,2467,4612,5077,4019,2484,2579,4024,2940,2947,2913,2945,2955,3018,3162,3183,0,0,0,0,0,0,0,0,0,0,0,141802,1775762,790686,913662,1608468,643651,5874031,0
2130290,21822,15024,6798,3037,3096,3386,3263,2242,3221,3577,0,28,7652,5466,8517,159,13802,7607,509,6097,7621,3607,2463,1112,281828095,184314224,97513871,37031674,41184115,42506697,39899149,23692589,45068721,52445150,0,416252,100844901,72062544,106227835,2276563,174933428,97008187,6838088,82061969,95632929,42231354,29997460,15179815,6,604702,284578,320124,53500,148859,108967,74698,77875,140802,137954,121031,72909,76035,115086,81685,86410,85643,86273,87456,88103,86351,84467,417,30,1,1,0,0,1,0,0,0,0,141802,1775762,790686,913662,1608468,643651,5874031,0
2130285,2044,1202,842,225,245,271,230,231,419,423,63,5,360,504,921,191,997,987,28,777,521,287,279,91,153616037,114991302,38624735,17303389,28626374,23370767,11467165,34223607,18450093,20174642,16677798,60095,13104566,18527269,52599318,52646991,92645902,36806924,878049,39107117,32712673,43091649,10861927,2801409,5,899125,463330,435794,66559,298291,188565,115078,98513,132119,99520,142587,126834,158388,253347,118450,121789,122066,127350,127019,133336,138778,128788,615,31,1,0,0,0,0,0,0,0,0,401845,4709573,2031314,2415308,4701689,2093665,16353394,4
