상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대0006매출건수,시간대0611매출건수,시간대1114매출건수,시간대1417매출건수,시간대1721매출건수,시간대2124매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대0006매출금액,시간대0611매출금액,시간대1114매출금액,시간대1417매출금액,시간대1721매출금액,시간대2124매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대0006생활인구수,시간대0611생활인구수,시간대1114생활인구수,시간대1417생활인구수,시간대1721생활인구수,시간대2124생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,시간대0006유동인구수,시간대0611유동인구수,시간대1114유동인구수,시간대1417유동인구수,시간대1721유동인구수,시간대2124유동인구수,총유동인구수,분기코드,행정동코드
2110001,50033,31804,18229,5414,6515,6758,6214,6903,9055,9174,65,12150,19098,8904,9321,495,28303,17080,218,2184,4226,9584,14508,14669,1190178264,735591301,454586963,107790797,217702476,144142799,128493006,137462223,219578989,235007974,988088,274690722,422291800,189595382,278387518,24224754,591654136,371840139,2019249,34165991,94091591,195905790,307591300,329720352,16,145911,63808,82104,25343,15525,14630,23229,24573,42612,38372,30756,16588,16749,24179,19270,20554,20348,20457,20486,20396,21350,22324,1066,12,1,0,0,0,0,0,0,0,0,9008,137018,83783,103268,120551,44619,498247,2,11110560
2110002,86576,63816,22760,12429,13480,13693,11663,12551,13059,9701,120,16265,24887,17041,23064,5199,37142,45410,913,11391,16221,18735,20214,15077,1322377056,967189193,355187863,187384286,175417128,274079305,156160528,174147946,232669967,122517896,3377527,156803079,430177238,258386503,372665450,100967259,564117913,525783934,4895523,94428247,182727382,236183215,311230373,260437108,20,333379,155139,178240,65917,42483,39505,47505,49009,88958,77085,72080,41964,43353,57451,41446,47734,48186,48121,48486,48075,47139,45635,475,18,2,0,0,0,0,0,0,0,0,68423,857278,471475,538194,657983,240520,2833873,2,11110570
2110003,34569,25458,9111,5285,4808,5408,4837,5120,5237,3874,608,5185,10806,6145,8119,3303,17862,14402,358,3184,5748,8702,7414,6871,677444368,490250978,187193390,92990135,94861731,97789534,102544432,102065146,117268670,69924720,37852446,49082277,153305083,73228272,180316922,178697949,383700126,220175716,11530147,63300686,99030057,134309807,148354506,147350633,31,397065,179090,217975,77880,46006,41791,64398,61078,105912,133215,83820,38798,37310,52188,51733,57065,56396,56384,56408,55848,57002,57964,485,15,0,1,0,0,0,0,0,0,0,23893,406430,258579,315631,372277,133727,1510537,2,11110550
2110004,14616,9357,5259,1795,1480,1835,2098,2149,2647,2612,0,1603,4418,2447,5343,805,6275,4292,22,681,1390,1975,2813,3684,705562710,393038306,312524404,55227955,60285932,90186287,78254796,109083336,162986152,149538252,0,21661566,175966241,148582220,290245077,69107606,349029285,220845858,431941,26432401,85817608,114184021,150007029,193002144,5,385468,182425,203042,79710,45169,50266,63712,55034,91578,77960,80574,50124,53010,74056,49744,54840,55607,54870,55205,54706,55016,55226,32,8,0,0,0,0,0,0,0,0,0,119882,1204737,671651,789079,950238,345729,4081316,2,11110570
2110005,31819,21993,9826,3419,4906,4972,4269,4427,4950,4876,51,2118,10437,5949,8191,1472,11629,14236,273,2128,3615,6521,7145,6186,811776604,535781389,275995215,67387193,123287485,111895088,108671687,124539936,131914555,144080660,1582554,33299720,230790532,137854300,276859780,83103852,305069108,327897499,6266089,53344567,79778316,151627723,173485627,168464279,17,187063,81550,105512,34216,19183,22372,28932,32609,49748,46339,37994,22831,22736,31768,25395,26777,26807,27098,26722,26207,26693,26758,1006,15,2,1,0,0,0,0,0,0,0,27734,348380,197434,262914,347037,128422,1311921,2,11110550
2110006,29416,15297,14039,915,3599,3625,3307,3851,7118,6921,5,524,8465,9690,7058,165,7859,17476,155,4822,7205,5466,5148,2614,541410030,291193775,249147987,15568133,68654157,66539314,62221781,78210390,126640817,122507170,216358,10057965,173779629,165249813,128181946,4778696,151713030,306289069,1674043,76221037,117890720,101926109,96754553,64387549,8,6566,3049,3517,1008,863,923,1149,986,1638,1506,1474,857,851,1105,775,907,934,933,925,919,953,996,27,4,1,0,0,0,0,0,0,0,0,5480,104757,91030,114147,114431,34213,464058,2,11110550
2110007,6382,3509,2873,603,808,598,921,579,1513,1360,2,30,1900,1385,2048,1017,3030,2761,0,825,1912,1301,1086,664,325316920,195710015,129606905,20066003,52981534,28848803,53658566,40155109,77186741,52420164,25414,740127,68233069,58205043,130819432,67293835,142927625,125406705,0,41857249,97733585,60565816,44708774,23468904,3,447566,203373,244194,96873,52092,55623,80924,61653,100399,134043,96004,46950,44035,65388,61147,64143,63300,62837,63107,61625,64246,68307,283,11,1,0,0,0,0,0,0,0,0,61756,533832,308029,389850,471940,174865,1940272,2,11110530
2110008,301827,193190,108637,34110,36123,41248,40004,42527,60015,48622,123,16332,104780,101033,73136,6423,87919,208167,9840,111756,80563,41873,37917,14138,5532459446,3234821144,2297638302,495459652,534344827,694649335,738586427,792574972,1281377105,1016261197,7388021,153112255,1591545110,1677835001,1656980057,445599002,1841304653,3359445541,64361109,1786460698,1550241272,784750435,698629077,316307602,96,1189273,471312,717961,238764,161630,177265,203259,169710,238645,319862,251147,158788,141070,174963,143445,173702,172767,168636,171953,165691,168348,168175,552,11,0,0,1,0,0,0,0,0,0,9463,201615,131240,168501,195662,62815,769296,2,11110515
2110009,34547,18996,15541,2932,3181,4232,4049,4602,8141,7400,87,297,8534,9413,11953,2723,13236,17181,258,4165,7047,7780,7412,3754,1795365186,1023952822,771256446,156624154,186411075,217789016,216677714,246450863,416772598,354483848,13183163,3782322,419717433,423697496,677659744,212899254,637466648,809204006,3018691,159592007,338489340,371142073,382712136,191716407,24,140747,63505,77242,18420,14627,17605,27444,23306,39345,46891,28669,14501,13654,18598,18434,19479,19699,19979,19985,19557,21115,20935,950,3,0,0,0,0,0,0,0,0,0,5480,106230,91593,114821,115856,34636,468616,2,11110550
2110010,187685,139558,48127,29686,28757,25556,27993,27566,29649,18478,429,14094,59051,48714,54171,8037,70044,106477,22332,21607,28857,37891,38832,26992,2981440518,2083025926,898414592,391602955,447527547,369629689,460823998,413441737,584082255,314332337,50449938,183460281,928301781,586921329,933881665,244639568,1146846991,1340226263,145424259,208610875,417903314,534455818,664398327,516280661,41,194437,84969,109468,36157,18031,23149,28052,34264,54786,60094,40669,17930,17850,28564,29331,27616,27686,27873,27619,27183,28095,28367,6687,36,1,0,0,0,0,0,0,0,0,11437,168028,89210,120296,141113,52465,582549,2,11110560
